date,exercise,weight,reps,comment,bodyweight,
,,85 kg,2x5,,,
,Face pull,30 kg,3x10,,,
,Pull-up,,5x5,,,
6/5/15,Stationary Bike,,,15min,,
,Bench Press,90 kg,2x4,,,
,,80 kg,3x5,,,
,Barbell Squat,80 kg,3x5,,,
,Dips,,1x3,left tricep hurts,,
,Pull-up,,3x5,,,
,,,,,,
,,,,,,
